Interval Start (s),original_subtitles,automatic_subtitles
1170,"Ben pagats i tots assegurats. ""No volem quedar-nos en dos casos en concret. Analitzem el sector en general. Quanta gent té faena gràcies al turisme?"" El sector turístico genera tres millones de empleos, el 16 % de la población activa trabaja en ámbitos relacionados con el turismo. -En la Comunitat Valenciana ahora habrá trabajando en el sector unos 250.000 trabajadores y trabajadoras. -A nivel de números, es evidente que genera empleo.",i tots assegurats. No volem quedarnos en dos casos en concret. Analitzem el sector en general. Quanta gent té faena gràcies al turisme? El sector turístico genera 3 millones de empleos. 16% de la población activa trabaja en ámbitos relacionados con el turismo. La comunidad anciana ahora mismo habrá trabajando en el sector unos 250.000 trabajadores y trabajadoras. A nivel de números es evidente que genera empleos. Yo creo que hay importante
1200,"-A nivel de números, es evidente que genera empleo. Es importante revisar qué tipo de empleo. Són superprecaris, superprecaris. Precarios por la estacionalidad, no por unas condiciones devaluadas, unas condiciones peores que las de otros sectores. -Se paga en negro, porque se trabajan jornadas de 10 y 12 horas, se descansa uno o ningún día a la semana. Te vas a Suiza y un camarero cobra 4.000 euros, te vas a cenar a un restaurante chino en Suiza y no pagas 20 euros. Pagas 100.","que hay importante revisar qué tipo de empleo se da. Son súper precaris. Son súper precaris. Precarios por la estacionalidad, no por unas condiciones devaluadas, unas condiciones peores que las de otros sectores productivos. Se paga en negro porque se trabajan jornadas de 10 y 12 horas, se descansa uno o ningún día a la semana. Te vas a Suiza y un camarero cobra 4.000 euros. Te vas a cenar a un restante chino en Suiza y no pagues 20 euros. Pagues 100."
1230,"""I directors d'hotel, que, per cert, estan molt cotitzats fora d'Espanya."" Molt, com els jugadors brasilers de futbol. Als espanyols ens passa igual amb els directors d'hotel. La majoria del sector són cambrers, cambreres de pis, personal de neteja, cuina, recepció. -He estado 11 años trabajando de camarera y en Alicante y en Torrevieja me ha pasado en un montón de bares: ""En agosto no se libra, hay que hacer dinero"". -Yo conozco casos que han estado","Y directores de hotel que, por cierto, están muy cotizados fuera de España. Muchísim. Como jugadores brasileños pero en el mundo de fútbol, ¿no? En los españoles nos pasa igual a los directores de hotel. Están cotizados, muy cotizados. La mayoría de los sectores son camareros, camareras de piso, personal de limpieza, cocina, recepción. He estado 11 años trabajando de camarera y tanto en Alicante como en Torrevieja me ha pasado un montón de bares de que en Agosto no se libra. En Agosto hay que hacer dinero. Yo conozco casos"
1260,"hay que hacer dinero"". -Yo conozco casos que han estado mes y medio sin descansar. -Con suerte llegaba al salario mínimo del convenio, pero he llegado a tener contratos de diez horas semanales cuando hacía diez horas al día. ""I quanta gent que treballa en el sector no té un lloc on viure per culpa del turisme?"" El problema de personal durmiendo en coches o en caravanas no lo hemos detectado aquí. -Es posible que el verano que viene no tengamos donde vivir, como pasa en Ibiza,",Yo conozco casos que han estado un mes y medio sin descansar. Con suerte llegaba a lo que marcaba el salario mínimo del convenio pero he llegado a tener contratos de 10 horas semanales cuando hacía 10 horas al día. ¿Y cuánta gente que trabaja en el sector no te unió con viure por culpa del turismo? El problema del personal que está durmiendo en coches o en caravanas no lo hemos detectado aquí. Es posible que el verano que viene no tengamos donde vivir y tengamos que ver cómo pasa en Ibiza
1290,"no tengamos donde vivir, como pasa en Ibiza, que estás hasta junio como mucho y luego búscate la vida y vive en un campin. -Pensem que un poc de raó tenen, sobretot per la vessant de les vivendes d'ús turístic. Són els nostres treballadors, familiars, nosaltres mateixos; quan eixa residència es convertix en un resort turístic hi ha un xoc entre el resident i el turista. ""Deixem de parlar en general i tornem als casos particulars dels hostalers entrevistats a Gandia i a Dénia.",cómo pasa en Ibiza que está hasta junio como mucho y luego búscate la vida y vive en un camping. Sí que pensé que algo de raud tenemos por la parte que va sobre todo en la vessante de las viviendas de los turísticos. Los trabajadores y familias nosotros mismos vivimos cuando esa residencia se convirtió en un resort turístico ahí no hay un choque entre el resident y el turista. Deixem de hablar en general i tornem als casos particulars dels hostalers entrevistats a Gandía i a Denia.
1320,"dels hostalers entrevistats a Gandia i a Dénia. ¿Els seus treballadors tenen problemes per a trobar allotjament?"" A Gandia no hi ha problema. Sí que tenim molts apartaments llogats i si no et meneges un poquet abans costa trobar-ne. Un xaval que vol vindre de Bilbao perquè li agrada la meua cuina i no pot vindre. Primera, que no en troba. Si en troba, 2.000 euros... Són animalades. Treballaries per pagar-te el pis. -Però tens habitacions per a llogar, pots llogar una habitació i pagar menys, no cal llogar un pis per a tot l'estiu.",Els seus treballadors tenen problemes per a trobar allotjament? En Gandía no hi ha problema. Lo que pasa que tenemos mollo de apartamentos alquilados y entonces pues pues no el manejos un poquete antes y costa trobar un apartamento. Un chaval que vol venir de Bilbao perquè era la meva cuina i vol venir i no pot venir. Primer que no n'encontra i després si n'encontra pues imagina 2.000 euros això no són animalades que treballaries pa pagar-te el piso. Pero bueno pero tens habitació es pa alquilar pots alquilar una habitació i pagar menos no fa falta alquilar un piso pa tot l'estiu.
1350,"no cal llogar un pis per a tot l'estiu. ""El problema de l'habitatge no només el patixen els treballadors del sector, també el veïnat de les ciutats més turístiques."" Estoy viendo trasteros por mi barrio en los que está empezando a entrar gente mientras que en ese bloque cada vez hay más Airbnb. El turismo nunca ha supuesto ningún problema hasta la irrupción de las plataformas de internet que han posibilitado 'hotelizar' viviendas. -En molts casos som nosaltres mateixos",El problema de l'habitatge no només el patixen els treballadors del sector també el veïnat de les ciutats més turístiques. Estoy viendo trasteros por mi barrio en el que está empezando a entrar gente mientras que en ese bloque cada vez están habiendo más AirBnB. El turismo nunca ha supuesto ningún problema hasta la disrupción de las plataformas de internet que lo que han hecho es la posibilidad de hotelizar viviendas. En molts casos somos otros mateixes
1380,"-En molts casos som nosaltres mateixos els que, per exemple, tenim una casa al poble i veiem que li traiem més rendiment econòmic llogant-la per 1.400 euros la setmana. ""¿Este tipus d'allotjament turístic 'low cost' és responsable de la massificació o saturació de les ciutats?"" A la Comunitat Valenciana hi ha a dia d'avui aproximadament 680.000 places d'allotjament, en general, de tot; 150.000 són hoteleres. Hotels, hostals, pensions i albergs.","somos otros mateixes en los que per exemple tenim una casa al poble y vegem que le traguen més rendiment econòmic alquilant 1.400 euros la setmana a agost. Este tipus d'allotjament turístic low cost es responsable de la massificació o saturació de les ciutats. A la comunitat valenciana hi ha a dia d'avui aproximadament 680.000 places d'allotjament en general de tot. 150.000 són hoteleres, hotel, hostels,"
1410,"Hotels, hostals, pensions i albergs. 450.000, apartaments i vivendes d'ús turístic. Els números. Som conscients del que genera això d'impacte? -El turista de qualitat és el que va a allotjament regulats i reserva directament en l'hotel, una agència de viatges o una plataforma legal. -Si vas a un Airbnb en el que posiblemente antes vivía una familia a la que se le subó el alquiler hasta que era imposible vivir, eso, de cara a la conciencia propia como turista, hay que repensarlo.","hotel, hostels, pensions albergs, 450.000 apartaments i viviendas de hosturístic. Fes números. Seu conscients de lo que genera això d'impacte? El turista de qualitat es el que va a alojaments reglats, el que reserva directament en el hotel o en una agència de viatges o en una plataforma legal. Si vas a un Airbnb en el que posiblemente en ese piso antes vivía una familia a las que se le empezó a subir el alquiler hasta que era imposible vivir y ahora se pasa a un piso turístico. Y eso de cara a la conciencia propia como turista"
1440,"eso, de cara a la conciencia propia como turista, hay que repensarlo. ""Vaja, és poc habitual que el president d'Hosbec i la portaveu d'un col·lectiu activista coincidisquen. Que ell critique un model de negoci que li pot fer perdre diners, ho entenem; però, i ella, ¿per què no defensa esta opció barata d'allotjament turístic que dona la possibilitat de viatjar a tanta gent treballadora?"" Hay opciones habitacionales destinadas solo para eso sin echar a familias de su barrios y de sus casas.","como turista también repensarlo. Vaja, es poc habitual que el president d'Osbeck y la portaveu d'un col·lectiu activista coincidisquen. Que él critique un model de negoci que le pot hacer pedre diners ho entenem perfectament. Pero ¿Y ella? ¿Por qué no defensa esta opción barata de allotjament turístic que dona la possibilitat de viatjar a tanta gent treballadora? Hay opciones habitacionales destinadas solo para eso, sin echar a familias de sus barrios y de sus casas."
1470,"sin echar a familias de su barrios y de sus casas. ""Experts i parts implicades coincidixen en la necessitat de regular els pisos turístics, i així ho ha fet la Generalitat a través d'un decret llei"". Que se persiga y castigue todo aquello que se esté comercializando sin la debida autorización. -La Generalitat té molt pocs inspectors i es dediquen a anar als hotels de cinc estrelles a vore si els coixins tenen ploma d'oca o de flamenc. No van a vivendes d'ús turístic, perquè suposa eixir al carrer,",Experts i parts implicades coincidixen en la necesitat de regular els pisos turístics. I així ho ha fet la i es dediquen pràcticament a anar als hotels de 5 estrellas a veure si les almohades tenen pluma de oca o de flamenco realment no van a venders turístics a inspecció perquè suposa
1500,"No van a vivendes d'ús turístic, perquè suposa eixir al carrer, en estiu a més de 30 graus, tocar al timbre... És més fàcil anar a un hotel, amb aire condicionat. Són funcionaris, no van a matar-se per astò. ""Esta normativa es va aprovar a l'agost. Quan es notaran els seus efectes?"" Va a tener efectos prácticamente inmediatos, hemos dado un plazo improrrogable hasta el 31 de diciembre de este año para comunicar el número de referencia catastral. Las viviendas que no lo comuniquen causáran baja en el registro.",suposa girar el carrer en estiu a 30 y pico graus aquí darrer un telefonillo és més fácil anar a un hotel aire acondicionat a tener director y bueno son funcionarios no no van a matarse ver esta nova normativa es va aprovar a l'agost quan es notaran els seus efectes va a tener efectos prácticamente inmediatos porque hemos dado un plazo improrrogable hasta el 31 de diciembre de este año para poder comunicar el número de referencia catastral todas aquellas viviendas que no lo hayan comunicado causarán baja en el
1530,"Las viviendas que no lo comuniquen causáran baja en el registro. El 1 de enero partiremos con un registro limpio. És una bona solució. Tindrà matisacions, però que l'administració assumisca eixe repte ja és important. No crec que s'acabe el problema, crec que millorarà. No té sentit que, com a destinació, entengues que vas a limitar un tipus d'allotjament. Mentre continue dient: ""Vingueu"", dic: ""Açò ho he de limitar"". ""El turismòleg fa referència, entre altres, a la demanda de la Generalitat perquè el govern espanyol amplie",no no creo que se acabe el problema sí creo que mejorará no te has sentit que tú como destinación entengues que vas a limitar un tipo de allotjament mientras yo continúo dient vengau vengau pero al estoy dient eso lo he de limitar el turismo oleg fa referencia entre altres a la demanda de la Generalitat porque el
1560,"de la Generalitat perquè el govern espanyol amplie els aeroports de Manises i l'Altet."" La ampliación de los aeropuertos de València y Alicante, no hay duda, es necesaria y urgente. A lo mejor, en vez de poner un aeropuerto en Castelló, habría sido mejor hacer crecer el de Manises. -L'aeroport d'Alacant creix a un ritme brutal, per damunt de les perspectives de qualsevol. És exagerat. Jo he arribat dies allí i estava totalment saturat, cal reformar-lo. -L'avió i el creuer estan vinculats",el govern espanyol amplia els aeroports de Manises y l'Altet La ampliación de los aeropuertos de Valencia y Alicante es una cuestión que no es que no tiene ninguna duda es necesaria ya y urgente Es que en su día a lo mejor en vez de haber puesto un aeropuerto en Castellón hubiera sido a lo mejor haber hecho crecer Manises L'aeropuerto d'Alacante está creciendo a un ritme absolutament brutal pero brutal pero damunt de las perspectivas de cualsegol Valencia va muy bien pero lo de Alacante es exagerado
1590,"cal reformar-lo. -L'avió i el creuer estan vinculats al turisme de masses, que està destruint l'entorn cultural i natural. ""El 80% dels passatgers que aterraren a l'aeroport de Manises entre gener i juliol d'enguany ho feren en companyies de baix cost. A l'empresariat valencià li interessa l'arribada d'este tipus de turistes?"" Fa poquet, Alacant-París em va costar més de 200 euros amb la 'low cost' més famosa. Ja no té res de 'low cost'. Eixos bitllets de 26 euros",en el entorn cultural y natural El 80% dels passatgers que aterraren a l'aeroport de Manises entre gener i juliol d'enguany ho feren en companyies de baix cost A l'empresariat valencià l'interessa l'arribada d'este tipus de turistes? Fa poquete viat en una i bueno crec que va ser a la Camp París i va costar 200 y pico euros i es la low cost més famosa ja no té res de low cost esos billes
1620,"Ja no té res de 'low cost'. Eixos bitllets de 26 euros ja no existixen. -Si no hay vuelos ni 'low cost' ni regulares, nunca podrán venir. ""Gràcies a les companyies de baix cost, els turistes poden viatjar a més llocs a preus més assequibles. Però també hi ha inconvenients, com els que va patir la família d'Esperanza. El vol que els havia de portar a casa des de Roma es va cancel·lar després d'estar durant hores a l'avió."" Són les 00.20 h, portem tres hores tancats.",esos billes de 26 euros ja no existigen El problema es que si no hay vuelos ni low cost ni regular nunca podrán venir Gràcies a les companyies de baix cost els turistes poden viatjar a més llocs i a preus més assequibles però també hi ha inconvenients com els que va patir la família d'Esperanza El vol que els havia de portar a casa des de Roma es va cancelar després d'estar durant hores a l'avió Són les 12 i 20 durant
1650,"Són les 00.20 h, portem tres hores tancats. -La gente se está empezando a poner nerviosa, los niños lloran. Entiendo que pueda haber una cancelación, entiendo que pueden haber retrasos. Lo que no entiendo es que nos traten así, que nos retengan cuatro horas en un avión sin agua, sin comida. ¡Agua! -¡Agua! ¡Agua y comida, ya! Y luego te digan, a la una de la mañana, que se cancela, bajas del avión al aeropuerto",durant 3 hores sancats La gente s'estan petando la voya nerviosa los niños lloran es una victoria que no es Yo entiendo que pueda haber una cancelación entiendo que puedan haber retrasos lo que no entiendo es que nos traten de esa manera que nos retengan cuatro horas en un avión sin agua sin comida y luego te digan a la una de la mañana se cancela bajas del avión al aeropuerto
1680,"que se cancela, bajas del avión al aeropuerto y no hay nadie que te informe. Había una trabajadora de Ryanair que no le dio un paro cardíaco de milagro. -Esto es un caos total y nadie hace nada. -Hasta el viernes no hay vuelos para València. ¿Cómo voy a estarme yo tres días allí, en Roma? -Vaya desastre, qué vergüenza, madre mía. -Hubo mucha gente que lloró. Yo vi gente llorar",al aeropuerto y no hay nadie que te den la información había una trabajadora de Ryanair que no le dio un paro cardíaco de milagro Esto es un caos total y nadie hace nada Hasta el viernes no hay vuelos para Valencia ¿Cómo voy a estarme yo tres días allí en Roma? Vaya desastre Qué vergüenza Padre mía Hubo mucha gente que estuvo llorando
1710,"-Hubo mucha gente que lloró. Yo vi gente llorar en el aeropuerto, gente nerviosa: ""No sé qué hacer ahora"". ""Després de més de 18 hores, volaren de Roma a Barcelona, no sense tornar a patir un retard, i una vegada allí agafaren un tren per a arribar a València. Tota una odissea. El viatge dels quatre els va començar costant 300 euros, quant a acabaren pagant de més?"" Entre el taxi para ir al hotel, el hotel, la comida y el tren de Barcelona a València,",que estuvo llorando o sea yo vi gente llorar en el aeropuerto gente nerviosa de no sé qué hacer ahora Después de más de 18 horas volaren de Roma a Barcelona no sense tornar a patir un retard y una vez allí agafaren un tren para arribar a Valencia toda una odisea El viatge dels cuatro els va comenzar costant 300 euros ¿Cuánta acabar empagant de mes? Entre el taxi para ir al hotel el hotel la comida
1740,"y el tren de Barcelona a València, nos hemos gastado alrededor de 500 y pico euros más. ""¿Tornarà a viatjar en una companyia 'low cost' després d'esta experiència tan roïna?"" Si te dijera que no, posiblemente te estaría mintiendo. ""¿Hui en dia hi ha tants turistes perquè viatjar és més barat que en el passat?"" Fa uns anys, no fa tant, només les elits podien viatjar,",la comida el tren de Barcelona a Valencia nos hemos gastado alrededor de 500 y pico euros más ¿Tornará a viajar en una compañía low cost después de esta experiencia tan roina? Si te dijera que no posiblemente te estaría mintiendo me dijo que ella ya me conocía que si hoy en día hay tantos turistas para que viatjar es más barato que en el pasado Fa unos años
1770,"Fa uns anys, no fa tant, només les elits podien viatjar, però en un moment donat ja tots podem viatjar en algun moment de l'any. Jo crec que és la gran conquesta del segle XX, la democratització dels viatges. ""Per tant, ¿apujar els preus seria una solució per a reduir el nombre de turistes?"" Si lo que hacemos es subir precios, estamos expulsando a los trabajadores, a las trabajadoras y a las personas de clase media-baja. Esa no es la solución.",Fa unos años no hace tant las élites podían viajar pero en un momento ya todos pueden viajar en un momento en el año yo creo que es la gran conquista del siglo XX es la democratización de los viatges Per tant apujar els preus seria una solució per a reduir el nombre de turistes Si lo que hacemos es subir precios lo que estamos es expulsando a los trabajadores a las trabajadoras y a las personas de clase media clase media baja esa no es la solución
1800,"Esa no es la solución. ""Tots i totes tenim dret a poder viatjar?"" A vore, viatjar és un privilegi, no és un dret. El dret el tens al descans. ""Just o no, funcionaria? Perquè este estiu, per exemple, els preus dels hotels valencians han triplicat la inflació. Però eixe augment de preus no ha fet que les visites disminuïsquen. Per què?"" La societat actual és capaç de llevar-se de menjar, però és impossible que no viatge.",esa no es la solución Tots y totes ¿Tenim dret a poder viatjar? A ver viatjar es un privilegi no es un dret el dret el tens al descans Just o no funcionaria? Per aquest estiu per exemple els preus dels hotels valencians han triplicat la inflació Però aquest augment de preus no ha fet que les visites disminuisquen Per què? La societat actual és capaç de llevarse de menjar però
1830,"de llevar-se de menjar, però és impossible que no viatge. Las vacaciones, igual que el bar, son sagradas. Si no puedo permitirme un mes entero en un apartamento alquilado en Benicàssim, paso una quincena. Y si no llego a una quincena, paso una semana. He de menjar menys? Ho faré. He de dormir en un sofà? Ho faré. He de viatjar en BlaBlaCar? Ho faré. -Pero las vacaciones se hacen sí o sí. Y si tengo que endeudarme, no hay ningún problema. -A Eivissa, imagine que els preus",però és impossible que no pugui viatjar Las vacaciones es igual que el bar son sagrados Si yo no puedo permitirme unas vacaciones de un mes entero en un apartamento alquilado en Benicassim pues paso una quincena y si no llego a una quincena pues paso una semana He de menjar menys? Ho faré He de dormir en un sofá? Ho faré He de viatjar en un blau laclar? Ho faré pero pero las vacaciones se hacen sí o sí y si además tengo que endeudarme no hay ningún problema En el cas de Evisa imagina que evidentment els preus han pujat moltíssim
1860,"no hay ningún problema. -A Eivissa, imagine que els preus han pujat moltíssim i els turistes hi han arribat, han llogat l'apartament; han hagut de pagar un billet d'avió i es troben que els queda molt poc d'espai per a l'alimentació i l'oci. Doncs 'playa, pipas y paseo'. ""¿A les destinacions turístiques els interessa rebre este tipus de turista que dorm en una furgoneta i menja de supermercat?"" No, eso no nos deja dinero. Buscar al turista jubilado británico","han pujat moltíssim i per tant els turistes han arribat han llogat l'apartament evidentment han hagut que pagar un billet d'avió i per tant es troben que al augmentar tant els preus es queda molt poc d'espai per a l'alimentació per a l'oci pues playa pipas i passeu A les destinacions turístiques els interessa rebre este tipus de turista que dorme en una furgoneta i menja de supermercat No, no eso no nos deja dinero buscar al turista"
1890,"No, eso no nos deja dinero. Buscar al turista jubilado británico que tiene su pensión de 5.000 euros y traerlo aquí a Benicàssim, no al estudiante británico que viene con 200 euros, paquete cerrado con Ryanair, a pegarse la borrachera del siglo y a tirarse por el balcón. ""És a dir, ¿com més ric siga el turista, millor per a l'economia de les destinacions turístiques?"" Tu el turista que vols és milionari, que és el que es gastarà més diners.",buscar al turista al jubilado británico que tiene su pensión de 5.000 euros y traerlo aquí a Benicassim no al estudiante británico que viene con 200 euros paquete cerrado con Ryanair a pegarse la borrachera del siglo y a tirarse por el balcón Es a dir que com més ric siga el turista millor per a l'economia de les destinacions turístiques Tu el turista que vols és millonari que és el que
1920,"Tu el turista que vols és milionari, que és el que es gastarà més diners. ""Per tant, ¿potenciar el turisme de luxe seria la solució a alguns problemes derivats de la massificació turística?"" No. Literalment, no. Yo creo que es parte de la solución, pero no es la solución. No, en absolut. Jo crec que la Comunitat Valenciana ha de tindre oferta per a totes les butxaques. ""Segons l'INE, la despesa mitjana per turista",que és el que va a gastar-se més diners Per tant potenciar el turisme de luxe seria la solució a alguns problemes derivats de la massificació turística no literalment no jo creo que és part de la solución pero no no es la solución no no pero ahora res yo creo que la comunidad valenciana té que tindre oferta per a totes les butjaques Segons LINE la despesa mitjana
1950,"""Segons l'INE, la despesa mitjana per turista va ser de 127 euros al dia durant el primer semestre de l'any a la Comunitat Valenciana. I el turista de luxe quants diners es gasta diàriament?"" El gasto diario medio, está rondando los 500 euros. ""Per saber en què es gasten eixos 500 euros al dia, l'Associació Empresarial Valencia Premium ens mostra alguns dels serveis que oferixen a este tipus de turistes.",la despesa mitjana per turista va ser de 127 euros al dia durant el primer semestre de l'any a la comunitat valenciana i el turista de luxe de luxe cuantos diners es gasta diariamente el gasto diario medio puede estar rondando los 500 euros per a saber per a saber en que es gasten esos 500 euros al dia l'associació empresarial valencia premium ens mostra alguns dels serveis que oferissen a este tipus de turistes ens embosem
1980,"que oferixen a este tipus de turistes. Ens en posem en la pell d'un per viure una experiència de luxe. Comencem a l'aeroport, on ha vingut a areplegar-nos un cotxe d'alta gamma."" Benvinguda. Gràcies.  És freqüent que el turista de luxe demane un servei com este? Sí, la verdad que es muy frecuente porque se siente de alguna manera acompañado desde el minuto cero. Más seguros, más cómodos.",ens embosem en la pell d'un per viure una experiencia de luxe comencem a l'aeroport on ha vingut a replegar-nos un cotxe d'alta gama benvinguda gracias es freqüent que el turista de luxe demane un servei com este si la verdad es que es muy freqüente porque se sienten de alguna manera acompañados desde el minuto cero más seguros más cómodos arribem a l'hotel
2010,"""Arribem a l'hotel Las Arenas, on ens reben amb una copeta de xampany i ens donen la clau de l'habitació."" Moltes gràcies. Com és l'habitació que ens heu reservat hui? És una Suite Mare Nostrum. Té un saló molt gran, una habitació, un quarto de bany superbonic i les vistes que tenim, espectaculars. Tenim huit habitacions així a l'hotel, a part de les altres dos suits presidencials. Quant costa allotjar-se una nit en una habitació com esta?",arribem a l'hotel las arenas on es reben amb una copeta de champán i ens donen la clau de l'habitació com és l'habitació que ens heu reservat avui és una suite mare nostre com ho heu vist té un saló molt gran una habitació un quart de bany també superbonic i les vistes que tenim que són espectaculars tenim 8 habitacions així en l'hotel a part de les altres dos suïts presidencials quant costa allotjar-se
2040,"Quant costa allotjar-se una nit en una habitació com esta? En temporada alta, l'habitació seria 1.300 euros. En temporada més baixeta, els mesos de desembre i gener, serien uns 1.000 euros aproximadament. ""El nostre recorregut acaba al restaurant La Sucursal, ubicat a l'edifici Veles e Vents de València."" Què acostuma a demanar el turista de luxe quan ve ací a La Sucursal? Lo primero en lo que se fijan, es curioso, es en la oferta líquida, en los vinos.",allotjar-se una nit en una habitació com esta en temporada alta l'habitació seria 1.300 euros en temporada més baixeta que serien els mesos de desembre gener i de més serien uns 1.000 euros aproximadament el nostre recorregut acaba al restaurant la sucursal ubicat al edifici ve les events de València que acostuma a demanar el turista de luxe quan vea la sucursal
2070,"es curioso, es en la oferta líquida, en los vinos. Y luego es verdad que es un turista que se deja llevar, aconsejar. Busca la cocina creativa, pero también la cocina inspirada en el territorio, en la tradición. Quina és la forqueta de preus? Digamos que vienen con un presupuesto que no viene limitado. El precio medio puede estar a partir de los 130, 150  euros en una comida o en una cena. Alguna anècdota o exigència cridanera del turista de luxe? Hace dos meses, unos clientes querían probar",cridanera del turista de luxe hace dos meses uns clientes
2100,"Hace dos meses, unos clientes querían probar un plato de alcachofas. Vinieron adrede. Les tuvimos que explicar que la alcachofa tiene una temporada y que volvieran en noviembre. Probaron otras cosas, pero hicieron el viaje por algo tan lujoso que tenemos como es el producto de cercanía. ""Queda clar que els 500 euros són de mitjana, perquè la despesa pot disparar-se sense problemes. ¿Però tants turistes rics venen a la Comunitat Valenciana",uns clientes querien probar un plato d'alcachofas que havien probado venien al dret de coger un avión per posar un plato d'alcachofas i hem de explicar que l'alcachofa tenia una temporada que no tocaba i que volvieran en noviembre provaran altres coses però van fer el viatge per una cosa tan lujosa que teníem en aquesta ciutat com és el producte de Celcanir queda clar que els 500 euros són de mitjana perquè la despesa pot disparar-se sense problemes però
2130,"¿Però tants turistes rics venen a la Comunitat Valenciana com per a compensar als de rendes inferiors?"" L'únic que tenen les destinacions com a turisme de luxe és quants diners deixen, però ningú valora la despesa que fan quant a residus, quant a aigua, quant a energia. Cuanto más turismo de este tipo venga, creo que también hay menos saturación en los destinos turísticos. -Si fóreu conscients de l'ús dels recursos energètics",però tants turistes rics venen a la comunitat valenciana com per a compensar els de rendes inferiors? l'únic que tenen les destinacions com a turisme de luxe és el que diuen de diners però ningú valora la despesa que fan en quant a residus en quant a aigua en quant a energia cuanto más turismo este tipo venga yo creo que también hay menos saturación en lo que son las ciudades o los destinos turísticos si vosotros fóro conscient de luz de luz
2160,"-Si fóreu conscients de l'ús dels recursos energètics i els recursos hídrics que fa el turisme de luxe, si la gent realment ho sabera, es replantejarien moltes coses. Moltíssimes. -Al final es cuestión de educación. ""Els turistes de luxe generen llocs de faena de luxe? Si el turista gasta més, el treballador cobra més?"" Los salarios no diferen. Lo mismo da que trabajes",de luz de recursos energéticos de recursos hídrics que fa el turisme de luxe si la gent realment usabera se reflejaría en moltes coses moltíssimes bueno al final es cuestión de educación traedme dinero billetes mejor si no me vale suelo els turistes de luxe generen llocs de faena de luxe si el turista gasta més el treballador cobra més los salarios no no difieren
2190,"Los salarios no diferen. Lo mismo da que trabajes en un hotel de dos estrellas que de cinco. Te diría que casi todas estamos por encima de los convenios sectoriales. -En estos hoteles de lujo también se precariza, porque no encuentran personal. Estamos 24 horas abiertos, 365 días al año, hay turnos... Eso a las generaciones de hoy en día no les apetece. -Por lo tanto, con el personal que he podido contratar, tengo que pasar el verano. Haciendo más horas, descansando menos.",no difieren lo mismo da que trabajes en un hotel de dos estrellas que de cinco estrellas yo te diría que casi todas con casi todas estamos por encima de los convenios sectoriales incluso en estos hoteles de lujo también se precariza ¿por qué? porque no encuentran personal estamos 24 horas abiertos 365 días al año hay turnos pues eso pero a las generaciones hoy en día no les apetece por lo tanto con el personal que he podido contratar tengo que pasar el verano ¿cómo? haciendo más horas descansando menos
2220,"Haciendo más horas, descansando menos. ""Deixem l'economia i parlem ara de l'impacte mediambiental. El turisme de luxe és menys contaminant?"" Eso es obvio. Al final, menos gente, menos contaminación. Solo hace falta ver un reportaje que salía en Mallorca la cantidad de botellas de champán que había en el fondo marino, por donde están los yates. ""No cal visitar Mallorca per a vore la costa plena d'embarcacions. Mireu si no estes fotos fetes a Xàbia.""",descansando menos te isem la economía y parlem ahora del impacto medioambiental ¿el turisme de luxe es menos contaminant? eso es obvio al final menos gente menos contaminación solo hace falta ver un reportaje que salía en Mallorca la cantidad de botellas de champán que había en el fondo marino por donde están los llates no cal visitar Mallorca per a vore la costa plena de embarcaciones mireu si no estas fotos
2250,"Mireu si no estes fotos fetes a Xàbia."" No poden arribar 400 vaixells i amb les àncores arrancar tota la posidònia que hi ha. -La imatge de la costa i els vaixells que arriben amb torxes i esperen a la nit per a entrar a conquerir la terra em recorda un poc a açò. És una imatge un poc, diria, bel·licista i destructiva. -Aquí querían construir un restaurante de lujo en el faro de Cabo de Huertas,","estas fotos feitas a Sábia no pueden arribar tres, cuatro, seis, baixells y a las áncores a arremlar a arrancar toda la posidónia que n'hi ha es la imatge de la costa y los baixells que arriben en antorches y esperen la nit para entrar a conquérir la tierra me recuerda un poco a eso pero es una imatge un poco diría felicista y destructiva aquí querían construir un restaurante de lujo en el faro de Cabo de Huertas una zona"
2280,"un restaurante de lujo en el faro de Cabo de Huertas, una zona con biodiversidad protegida. ¿Para ese turismo de calidad que te pagará 100 euros de un menú? ""No és la primera vegada que escoltem el binomi turisme de qualitat, turisme d'alt poder adquisitiu. Per què?"" Eixe concepte de turista de qualitat està associat al turista que gasta; denigrem aquelles persones amb menys capacitat adquisitiva i que també volen viatjar. -El turismo de calidad es el turismo del jubilado belga de 5.000 euros de pensión.",una zona con biodiversidad protegida para que para ese turismo de calidad que sí que te van a pagar 100 euros de un menú No es la primera vegada que escoltem el binomi turisme de cualitat turisme d'alt poder adquisitiu ¿per qué? Ese concepte de turista de cualitat está asociado al turista que gasta per tant sempre denigrem a aquellas personas que tienen menos capacidad adquisitiva y que también quieren viatjar ¿Qué es el turismo de calidad? Es el turismo
